ip_location,content,label
未知,嗯 不要生最好了[偷笑R],2.0
浙江,发际线明显,1.0
河北,第一个好窒息[绝望的凝视],1.0
四川,经典《我们那个年底》,1.0
未知,我没有，别带我，我很喜欢小孩,0.0
未知,我男友回答的也差不多是这样,1.0
内蒙古,想生就生，不想生就不生。都过好自己的，少管别人家的事。,1.0
安徽,我觉得，人都应该向内心求问，不要被网络舆论裹挟，不必太在意别人的看法。毕竟这是你自己的人生。特别是年轻人有时候容易冲动，喜欢赶潮流，无论结与不结，生于不生，还是应该看清自己的内心。,1.0
浙江,居然能活到105岁,1.0
浙江,那我70岁就去死[偷笑R],1.0
河北,还是希望他过的比我好，就想如愿的歌词里写的。,0.0
美国,生了孩子30岁开始痛苦到99,2.0
德国,德国没有孩子的老人挺多的，之前遇到一个，朋友的邻居。哎，就挺惨的。我还写过他的事，评论还问怎么他的孩子不管……后来知道是没孩子，没人管的。,0.0
未知,男人老了生孩子质量也不好的。,1.0
未知,冻卵解决一大半问题,1.0
湖北,不结婚65开始痛苦。结婚从结婚的那一刻开始痛苦。,2.0
北京,怀孕期间和生产的费用还没算呢,1.0
河南,为什么不能下载[流泪][流泪][流泪][流泪],1.0
山东,即使你不生孩子，年纪到了也会衰老的，刚好生孩子的那几年也是女性断崖式衰老的那几年。,0.0
宁夏,因为他们是好人，亲,1.0
江西,你都问这个问题了，一个人怎么结婚？[doge]自己赚钱自己花，不更快活吗,1.0
广东,........,1.0
未知,看了这些以后，心想还是别结婚了,2.0
贵州,其实我的想法要是自己能挣钱，有实力，这辈子可以真的不用结婚，如果遇到一个你最爱的人，或者他也爱你爱到骨子里的在结婚，因为一辈子很长，跟一个人在一起一辈子一定要了解清楚了，不要糊里糊涂结婚，生了小孩，孩子着罪,1.0
江苏,说的好,1.0
福建,我奶奶五个孩子，现在103岁，长期跟学医的小姑住，其他子女每周轮流去看望，我觉得她真的太幸福了。我姥姥也是四个孩子，轮流照顾她，陪她，90岁寿终正寝,0.0
陕西,我刚好全反，我童年贫瘠，成年窒息，哈哈[呲牙],1.0
山西,活到105咋可能啊，我姥姥66，姥爷70就走了，老年会生病啊[失望R],1.0
未知,我都不敢说自己不婚不育，只是没碰到合适的人罢了,1.0
辽宁,其实有没有孩子，真的只是在年老的时候才能体现出来，不信你就走着瞧[笑哭R],1.0
未知,会   本来不想生,2.0
未知,看完觉得自己不适合带娃也不适合丁克,1.0
海南,我本就凡人一个。所以接受他们的平凡。希望他们健康快乐成长。以后相互扶持，相互陪伴。,0.0
辽宁,第一个老顽固，他那个年代穷，和现在的压力那是一个概念吗，那个年代，农村大瓦房就可以了，穷能吃上粥就可以了，不至于把孩子饿死，但是现在行吗，一个房子几百万，车子，以及其他成本就没算进去，现在没钱，年轻人不生孩子，那是对孩子，负责，不要道德绑架，我觉得，沿海发达地区的老人，现在和年轻人想法差不多，就是南方内陆地区，那些越穷的地方，越不发达的地方，老人思想越冥顽不化，只考虑自己，一群自私鬼,1.0
广东,我现在24岁很喜欢小孩子但是不想结婚不想生孩子恐婚也害怕生小孩[泣不成声],2.0
河南,可是，状态看着也挺好的啊,1.0
湖南,懂了，65岁我就可以挂了[赞R],1.0
广东,死也是以后的事，管我们2023什么事？[看],1.0
北京,见过的最通透的丁克,1.0
未知,我老公:到时候再说,1.0
广东,所以我妈怎么养的起我们三的[doge],0.0
未知,虽然我个人还不是完全solid的丁克党（勿喷 因为我年龄尚小 生育离我暂时有点距离） 但是我爱看这样的分享贴 我个人觉得丁克就是比有孩子多了那份“随时说不”的权利和自由，比起能想做的事情 更难得的 是 不做自己不想做的事情[害羞R],2.0
河南,孩子就是来要债的。。。我自己就是孩子。[快哭了],1.0
未知,[doge][doge][doge],1.0
未知,我啊，32了没生，因为连婚都不想结,2.0
天津,真的这样[笑哭R]我也是，感觉从少女到少妇[笑哭R]。现在养了几年娃成老阿姨了[笑哭R]暴躁的老阿姨[笑哭R],0.0
湖南,寄托吧,0.0
上海,姐妹们，不结婚不生孩子快乐几十年，最后那几年的痛苦是我们应得的[送心][送心][送心],2.0
江苏,有没有可能想要要不了然后就看开了[捂脸],1.0
山西,没怎么样，就是活着[笑哭R],1.0
山东,我最应该担心的是拿手机的这个，等50岁喜提后妈称号[捂脸],1.0
未知,如果我经济条件好我会选择生,0.0
广东,爱了爱了[比心],0.0
未知,很好 我和老公准备好好谈谈这些个问题[偷笑R][偷笑R][偷笑R],1.0
未知,[点赞R],1.0
未知,对于生不生孩子这个问题，你分析得最到位[赞],1.0
未知,[微笑R]嗯…我听说女的到一定年龄就会被激素控制大脑，分泌一种物质。让你非常的想繁衍。你给我感觉好像，莫名其妙的就生了,0.0
江西,卧槽，我对象今天刚问完我,1.0
四川,有孩子，觉得你说得对，生了小孩以后特别怕死，不知道大家有没有这种感觉,0.0
未知,你以为只是没钱，其实连爱也没有。为了生活疲于奔命，这样的家庭环境怎么可能滋养出温柔坚定，富有智慧和耐心的人人呢,1.0
