ip_location,content
广东,抖音只有你三观正
广东,赞同，不想生孩子就不要结婚，结婚就生孩子，二人世界，跟结婚没关系
广东,是的，我这么年轻竟然和博主的想法是一样的，加油！ [泪奔]
广东,[赞][赞][赞]刷到这种女生太难了
广东,這身材好生養[色][色][色]
广东,可以帮他搞个龙凤胎出来，这种身材
广东,这三观太正了，我能遇见你吗？
重庆,这算是微胖的天花板吗？
陕西,保养的真好啊  有点羡慕啊
湖南,法拉利你好 可以认识你吗 我是下一任[看]
广东,小哥牛杂招聘老板娘
广东,喜欢你觉得你三观正，思维逻辑口才也好。
广东,法拉利身材头胎绝对是建设银行[泪奔]
四川,李莫愁说了就该去死[流泪]
福建,[鼓掌][鼓掌][鼓掌]
江苏,说的对
江苏,你觉得她很清醒，但是你们有没有想过她为什么说这些，大概率因为她为子女花了很多钱，但是没有子女在膝前孝顺，如果子女孝顺承欢膝下，她又是另一番言论了，所以不是她清醒，是她可怜。
四川,我有个挨骂的想法  把这个视频发到家族群里[微笑][微笑]
辽宁,我当了十多年子女，子女有没有用我还不知道[偷笑]
广东,有子女也要进养老院，这句话破防了
重庆,每个人都这么想，以后人类就灭绝了，
江苏,我已经生了四个了[看]
河南,人间通透老奶奶啊[捂脸]
山东,我妈老是说护工会打我[泪奔]
浙江,以前我也不同意这种说法。现在我非常赞同这种想法。
四川,我妈松口了[流泪]
新疆,生孩子本来就不是为了防老的，是自己活在这世上的延续，是自己的一个精神寄托，是老了以后回味自己一生，不会后悔，如果一个人什么都不留下，百年归寿以后，就永远消失在这个世界上了。
美国,不生孩子的姐妹也没劝着你们生啊，怎么生了的都劝着别的女孩要孩子呢，互相尊重互不干涉不行吗[微笑]
甘肃,我不理解世界上为啥会有人喜欢孩子[泪奔]但是尊重[看]
湖南,感觉评论区有些人想法还没视频中的奶奶通透[泪奔][泪奔][泪奔]
贵州,其实我想说哈，只要身体健康，包里有钱，不用去养老院 ，自己给自己养老也行，这种绝对自由幸福。小病医大病就嘎。
河南,也不谈钱吧，有生命风险啊
重庆,小的时候教育我们的是坚决反对享乐主义
云南,我妈没这素质[泣不成声]
广东,饭量不错嘛[灵机一动]
IP未知,[图片表情]
广东,一起自驾318进藏吧，广州出发！
广东,结婚吧
广东,新战衣？
广东,有道理
广东,[酷拽]
广东,又系你[比心]
广东,[图片表情]
湖北,我也是怀了才结婚的，有了就生下来
广东,这怕是卖睡衣的[看]
广东,给个机会[流泪]
广东,你说的对，我好赞同你的说法啊！[赞]
湖南,多了解丁克以及生孩子的好处与坏处权衡利弊，选择最适合双方的才是最好的，不存在丁克是不是偏离正道这种说法
吉林,[赞][赞][赞]
江苏,那些老了准备去养老院的，我就问去干嘛？养老院里没有工人，只能自助，惊不惊喜意不意外！
安徽,[玫瑰]
云南,没人有资格来决定女性必须生孩子，我们女性都是独立的个体，人活一生不就是让自己舒服的活一生
四川,[赞][赞][赞]
江西,有人说老年公寓好，那你问她，你住老年公寓吗[笑哭]
浙江,我和我老婆一个也不会生
陕西,好通透的奶奶
江苏,这耳朵长寿啊[泣不成声]我奶97了，就这耳朵，能吃能喝
福建,两极分化叭，比较赞成不生的是因为父母不给予支持，还拖累的，确实没必要生，像那种有钱的[泪奔]没有养娃负担啊，而且需要孩子继承家业[泪奔]
广东,我没想过，我也没想到，我才20，就把爸妈催婚，甚至我连20的生日都还没过[流泪]我又没有花他们钱，十八就出来打工[流泪]
四川,自己决定，后不后悔也是自己的事，他人无权干涉
湖南,背景音乐叫什么来的
广东,[赞][赞][赞][赞][赞][鼓掌][鼓掌][图片表情]
广东,明天领证，后天备孕，三年抱两[看]
广东,娶她需要注意什么[抠鼻]
上海,三观正
广东,私信你的至少七百多人了，就是筛选也能选一个了[泪奔]
广东,嫁给我好吗
湖南,吃的有点多吧[捂脸]
广东,作者应该是潮汕人
广西,这女的很正能量
广东,这是最原始的规则！
广东,[图片表情]
江苏,晚晚都要[暗中观察]
广东,好喜欢这身材
广东,冲吧， 冲吧，一起脱单
广东,身材真哇塞
广东,我加你，你同意吗？
云南,说得好[鼓掌][鼓掌][鼓掌][鼓掌]
湖南,希望我家人跟这个老奶奶一样通透就好[泣不成声]
河南,请大家有自己独立思考的能力，想要孩子可以要，不想要也可以不要，女性35岁以前是最佳生育年龄，请大家不要以后后悔。不要因为现在的网络风气而跟风，一定要独立思考！愿各位未来长虹
河南,有人的地方就有江湖
浙江,有的人没有生孩子的机会，才会珍惜'这机会
广东,人间清醒
广西,[看][看][看]
重庆,[发呆]，不理解这种想法。
浙江,岂止是通透，简直就是通透！这不光是通透的优选，更是无奈之下的选择。
山东,父母扶养孩子就是为了指望子女么？还有人说活的通透，有钱呀怕什么，吃的好，住的好
新疆,养老院也是有江湖的，有钱老了没有子女，钱还不知道是谁的呢！！！
河北,活好当下，如此便好。
广东,[比心][比心][比心][比心]
广东,结婚吗？
广东,民政局等你
广东,你们又来看媳妇了？
广东,遇见[暗中观察]
安哥拉,能养几个猫，收入不是一般人
广东,这身材极品[赞]
浙江,又被哪个专家洗脑了[看]
广东,认同[泣不成声]
上海,谈恋爱真累啊，唉
广东,法拉利的身材能生几个
广东,有点道理[赞]
内蒙古,你的饭量可以[赞]
福建,有那种，只谈一辈子恋爱的人吗？
湖南,睡衣不错
广东,跟你说处处
广东,看来是贤妻良母哦
广东,养四只猫什么家庭吖
北京,这个老太太算是看开了[捂脸]
辽宁,这个视频有毒啊，孩子必须生。不接受反驳。
甘肃,坐月子的我也看看评论区[流泪][流泪]
辽宁,等到你真的动不了，就知道有孩子和没有孩子那个好了，
江苏,奶奶才是人间清醒
新疆,睿智的老人[赞][赞][赞][赞][赞][比心][比心][比心][比心]
河南,没人了，个人养个人吧
河北,通透呀
甘肃,多数老了靠子女[赞]
浙江,通透[赞]
浙江,这叫自私的人，每一个生物包括植物的使命都是为了下一代发展
四川,现实本就这样。
河北,明显的带节奏
四川,这才是实话……这才是人类
广东,说了不要再推给我了，我快要沦陷了
广东,我想结婚，但找不到人结吖[捂脸]
广东,起码生2只
浙江,胃口不错
山东,不婚主义
广东,[呲牙]很有道理
广东,有趣的灵魂[灵机一动][机智]
福建,你要生吗  可以不要找我
广东,真的好好看[抱抱你]
广东,[比心][比心][比心][比心]
广东,[玫瑰]
广东,我認為這套睡衣滿分
广东,接受离异的吗？
广东,生十个
广东,能不能见面
广东,你一定会系一个好正的老婆
广东,[图片表情]
广东,2人世界得先过足[捂脸]
广东,肥白靓[捂脸]
广东,哗哗哗 我要
广东,一看就是大排量
广东,[比心][比心][比心]爱你[比心][比心][比心]
广东,嗯，我喜欢看
广东,[流泪]
广东,立马结婚
广西,几胎了
广东,真喜欢这女的[呲牙]
新疆,有165吗？[捂脸]
广东,爱上了[比心][比心][比心]
广东,[赞][赞][赞]
广东,睡衣性感[捂脸]
广东,有感情再考虑生小孩的
广东,一起生个足球队啊[图片表情]
四川,都这种想法，人类八十年后就绝迹了[笑哭]
河北,我就是这样的观点[赞]
广东,老人家说的很对[666][666][666][鼓掌][鼓掌][鼓掌]
四川,我想弱弱的问一下，老娘你有孩子吗？
浙江,主要是现在的白眼狼太多了。
浙江,[赞][赞][赞][赞][赞][666][666][666]
福建,要是个个都这么想，人类早就灭绝了
贵州,立马就不想生了
陕西,如果没有人，还有什么未来？
辽宁,说的有点道理[赞]
云南,是啊，养到大学毕业[捂脸]花了我不少钱[抠鼻]，等上班了嫁人了[捂脸]
江西,这样的价值观真的不应该存在，
浙江,还是有想不通的[呲牙]
四川,生孩子我是想他养我？我承认有小孩压力大很多！不仅仅是经济压力精神压力健康压力等！但是有孩子的快乐啊！有盼头啊！我现在一双儿女！
河南,你这个大妈说的不是你愿意不愿意 而是钱的问题
浙江,过程很重要奶奶
辽宁,通透[赞][赞][赞]
广东,这美背适合拔火罐[捂脸]
广东,"你的对婚姻理念很理性，

只是家里多了一双筷子[抱抱你]

多了儿童吵闹！！"
广东,请问娶你需要多大的实力？[捂脸]
广东,宝贝，恋爱吗
湖南,说的好
柬埔寨,我可以吗[奸笑]
广东,没有孩子婚姻是不圆满的，体会不到那种幸福
广东,冲啊[抱抱你]
广东,这生活真棒
广东,顿顿不离鸡蛋啊
广东,[图片表情]
广东,我钟意[色]
广东,我家伙还可以有[感谢][感谢][感谢][感谢][感谢][感谢]呵呵
广东,先闪婚，在恋爱，来吧[捂脸]
广东,"能否接受离异的伴侣？
我这里是可以的，因为在茫茫人海中，如果你能遇到你中意的人已经很难得了，能够遇到自己真正想要用一辈子去呵护的人已经很了不起了。
只要过去的故事不能阻碍成为我们两个人之间的发展即可。本来相爱就很难，何必设置这么多条条框框的。
我并不认为离异就是不好，过去根本不重要只能代表你的经历你的成长，只有当下和未来才是我们需要向前踏步一起走的呢。
有时候也要学会跟自己和解，不要过度让自己那么死板。
而且我认为家庭只是每个成员组成的，每个成员都必须有自己的角色。如何经营好家庭才是最重要的。"
广东,快点上链接喂[看][看]
山西,最羡慕年轻也享受老了也享受的人。。。
陕西,通透[赞]
河南,想得开…………
安徽,事实证明生孩子，孩子也累家长更累养儿防老的旧思想是该改变了现在养谁都防不了老自己有实力才有底气！
四川,[赞]
广西,[赞][赞][赞][赞][赞]
甘肃,我觉得根据个人观念吧，有养儿防老观念的人肯定这么想[捂脸][捂脸]
四川,你倒是有人养老！如果你没有子女当我没说
安徽,这个奶奶说的没毛病[赞][赞][赞]
福建,要听听养老院的老人怎么说
江苏,嗯，上学上学挣的钱都给学校了
安徽,这是看通透？
浙江,说的太通透了[赞][赞]
安徽,老干部有退休金，老农民'怎么办
河南,越来越多的人看透了人情冷暖，看透了活着的意义[赞]
浙江,老年公寓，你沒子女，到时候人家早早想方折磨送你走[捂脸][捂脸]
湖北,要孩子不是物资交换
江苏,活不起怎么生
IP未知,杭州老年安置房质量很好[赞]
上海,绝代双骄
浙江,有孩子的不知道没有天伦之乐的痛苦，还通透！
辽宁,说得对啊！[赞][赞][赞]
河北,支持这种说法
江苏,说的好，说到最后就是无奈，
黑龙江,他说的是我也同意[灵机一动][灵机一动][灵机一动][灵机一动][灵机一动]
海南,通透之极
黑龙江,太通透了，儿女指不上都有自己的家，哪有心里照顾你啊，生活压力那么大，钱也不好挣，怎么养老人？
浙江,钱再多，孤寂和期望也解决不掉
辽宁,各活各的
新疆,你们在认同啥？这个奶奶就说的是我们这一代人，不好好生活，不好好孝顺。你们一点都不愧疚吗？
湖南,阿姨说的太好了[赞][赞]
广东,连老人都是这种想法，玩完
江苏,通透[赞][赞][赞]
广东,一餐一个人四只蛋[赞]
广东,[抠鼻]“这样找爱情靠谱嘛[抠鼻]”
广东,双向奔赴你
广东,三观太正了[灵机一动]
广东,同款咖啡机。
广东,很想结婚很想有自己的孩子，可……没人喜欢[必胜]
IP未知,今天想找人喝酒啊[流泪]
广东,很理性  很健康 [暗中观察]
广东,[一起加油][一起加油][一起加油]
广东,[机智][机智]
新疆,我想结婚生子，有和我一样想法的女士吗？可以聊聊
广东,自己不想，不要带偏别人
广东,现在的群里妹子漂亮[舔屏]
云南,一个自私的人，她的快乐与众不同[赞][赞][赞]
福建,奶奶说的太棒。[赞][赞][赞][赞][赞][图片表情]
广东,老奶奶很通透啊[灵机一动]
江西,老奶奶有儿女吧孙子也是有的吧，口嗨又不用负责任，儿孙满堂的人在这里说这些真的合适吗，个人理解，别喷我[暗中观察]
广东,所以那些出国的子女都不羡慕[捂脸]
广东,这奶奶想得很通，看得很透，[捂脸][捂脸][捂脸][捂脸][捂脸][鼓掌][鼓掌][鼓掌][鼓掌]
广东,我家婆她们把我老公的外公送进养老院了[暗中观察]
四川,非常赞同[赞][赞][赞]
湖北,[赞][赞][赞][赞][赞]
四川,去老年公寓，如果没有子女来看你，欺负你，哭都找不到墙[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙]
山西,这鸡汤够…
福建,有孩子确实有盼头而且热闹一些
河北,她说的是有前提条件的，首先你得有钱，还得有人在养老院为了钱照顾你。大家都丁克，还会有人吗？
云南,现在的子女压力太大  没时间陪父母  也没时间陪子女
广西,没有小孩撑腰，在老年公寓有在多的钱也挨工作人员看不起的
贵州,说的太好了，我喜欢[赞][赞][赞][赞][赞][赞]
广东,极品[比心][比心]
广东,能生儿子[捂脸]
广东,身材真系好
广东,超爱吃鸡蛋
广东,要是每个女的都像你一样的思想就好了[泣不成声]
广东,我介绍一百零八个兄弟给你[捂脸]
广东,你是懂流量的
广东,每天打卡看完[坏笑]
广东,姐姐，那我可以先和你做朋友，因为，我也是想找结婚对象的那种[呲牙]
广西,视频发那么密的吗
广东,对[握手]
IP未知,你在海外的，我是那种条件如果条件可以老婆愿意的话我想要四个！[捂脸][捂脸][捂脸]
广东,在家不穿口罩的吗[偷笑]
广东,来吧，生一个。
广东,我来应聘~
广东,那么好身材，不生孩子可惜[呲牙]
广东,这样子的家婆[赞]
江西,老无所依[流泪][流泪][流泪][流泪]
北京,不愿付出，莫谈收获。
江苏,我也是同意这样的想法，人生就几十年。今年4月份因为想回成都做点事，看门面期间，与几个小孩子合租，别看几个小孩子压力山大，很努力的。临走前一晚，小孩子们非要请我撸串喝酒…一番聊天下来，他们说我的想法太前卫…
湖南,我现在有条件生了可惜不能正常怀孕了
陕西,活得通透的老人[赞][赞][赞][赞]
广东,我觉得吧，如果你想过的好，你得生孩子，然后让你的孩子，你老了以后的工作生活的地方，距离很近。还要你孩子不要生孩子
云南,生一个就好
北京,[赞][比心][感谢]祝福老人平安快乐[玫瑰]
广东,没毛病[赞]
江苏,可以不生孩子，但要在结婚前甚至谈恋爱之前告诉对方，不能结婚了才告诉对方不想生小孩
山东,这个老奶奶活的明白！[赞]要是都这样想！有些人该急了！
福建,那万一挣不到很多钱晚年生活没有保证，生孩子也算后路？
湖北,有道理[玫瑰]但是不提倡毕竟打仗是需要敷衍下一代的[捂脸]毕竟人口少了国家安全也是四面楚歌[捂脸]
上海,人间清醒[666]
黑龙江,活着就是走一步看一步，有孩子有有孩子的乐趣没孩子有没孩子的想法，人与人之间不一样的，也不能都这么想，这么做的话世界就灭亡了[捂脸]
广东,月薪可以来面试吗？
广东,有趣的两百斤，可以了解一下
广东,着急了？
广东,所以结婚你就要担当起责任，要不，就不要结婚，去追逐风和自由。等老了以后，你能看到别家其乐融融，不感到难过孤单就可以了，鱼和熊掌不可兼得啊[呲牙]。[比心]
广东,[惊恐][惊恐][惊恐][惊恐][惊恐]
湖北,这个面应该不错
广东,[图片表情]
河北,我很赞同了，有娃多好，多开心我的想法就是有几个生几个哈哈哈
广东,高龄吗？[捂脸]
广东,没关注却时常刷到，这是为什么[暗中观察]
广东,这身材绝了
广东,所有配文！只为吸引！表现[泣不成声]
广东,[白眼]真的吗[白眼]
广东,你这么早去干嘛了？
广东,你要不要帮忙[捂脸]
广东,我要找对象 我要结婚生子[流泪]
广东,[比心][比心]
广东,再胖个10-20斤直接起飞
广东,三观正确
广东,多年前就想要一个宝宝，也是很想当爸爸
广东,怎么会找不到对象 现在广州本地也很多待娶男青年
广东,养这么多猫[捂脸]
广东,说的很对，合适的时候，遇到合适的人，就一起吧
湖北,[比心][比心][比心]
江西,你怎么不直播
广东,你若简单，世界就简单
广东,相当索
广东,[比心][比心]
广东,你是潮汕的吗？
广东,没钱没房没车。都找不到女朋友呀[看]
广东,人生的主线任务是传宗接代！其他都是支线副本！[看]
广东,请问通往你心里的路怎么走[捂脸]
海南,这奶奶真的人间清醒
四川,看来我要开始存钱养老了[抠鼻]
山西,我和老婆就没要孩子，
山东,这是人间清醒！
甘肃,现在越来越多的老人都活通透了[赞]
广东,[赞][赞][赞]活的通透，舒服自在
广东,好听的嘞[调皮][调皮][调皮]
云南,阿姨你给我妈聊聊吧[流泪]
江苏,说的是通透，有几个人能做到？我就想问问，奶奶有子女没？她年轻的时候也这么通透么？谁不是撞了南墙才想到回头的呢！
湖南,都这样想那人类要灭绝了
河南,为什么要生，凭自愿。
河北,没有孩子没法享受天伦之乐
陕西,那你是能动弹，瘫着不动了就不说了，虽然有的儿女管不管也不知道，反正比养老院对你下手轻
广东,老太太没有进过医院。我可是住过院！亲眼看到了保姆是怎样欺负主人的！[捂脸][捂脸][呲牙][呲牙]没有自己孩子病了真的不如一条狗！除了喝药马上死！[捂脸][捂脸][捂脸]
广东,[抠鼻]生孩吧，我不是丁克
广东,日日索。日索夜索，干起活Zei鸠味[泣不成声]
广东,私信唔到你咯
广东,眼神里带着“伤”
广东,脱单的秘诀是啥
广东,为什么你还不结婚生子？
广东,评论区能找到对象吗？95.178
广东,我的生活并不大 你不在的时候我都是一个人
广东,那就聊聊我们啥时候结婚
广东,92的在中山工作，[暗中观察]
广东,好强壮哦
云南,准备生几个
广东,我也是电白的，第1000个赞是我点的，哈哈
广东,会介意收入没你高的吗
广东,结婚吧，今年就结
广东,对[比心][比心][比心]
浙江,确实，人活一辈子，不享受白活一遭
江苏,但是这种DNA怎么没有被淘汰？[疑问][疑问][疑问][疑问][疑问]
天津,这就是及时行乐，不想负一切责任，自私透顶。
河北,通透，付出一辈子难道就为了最后那几年有个人照顾你吗？而且这人靠不靠得住还两说！
云南,请不要传播这样的话题。人总要传承的
安徽,[捂脸][捂脸][捂脸]
江西,[赞][赞][赞]
山东,每个人的三观不同，子女的陪伴也是快乐的，人活着吃劲酸甜苦辣咸也是一种人生经历！都这种想法的话老年公寓的护工哪里来？
陕西,老人家想的通透[赞][赞][赞]
河南,养老院不可靠的中国现在的养老院还是不规范，到里边老人挨打的很多的，有子女的还是要在家和子女共享天伦之乐
安徽,通透[捂脸]
陕西,这广告无敌了[捂脸]
江苏,有没有可能想要要不了然后就看开了[捂脸]
广东,[图片表情]
广东,三观正给你点赞
IP未知,[调皮]
广东,你太优秀了，高攀不起
广东,一胎生俩娃
广东,我们结婚吧  急[抱抱你]
广东,你为什么一个关注都没有
广东,看看我  好生养[暗中观察]
广东,这身材能打[赞][赞][赞]
广东,完全赞同你的观点[灵机一动]
广东,我认为我们该认识下
广东,真想让你一胎生八个[看]
广东,老婆好
广东,算了，一个人挺好[图片表情]
广东,我自从看了你的视频，感觉你三观很正经[抱抱你]
广东,那个已婚的搞了没
江苏,个别不能代表全部，我不喜欢这种思想，有点自私
四川,灭绝师太[捂脸][捂脸][捂脸]
江苏,没有子女，在养老院都要受欺负[捂脸]
四川,生的越多裤收刮的越多
江西,[赞][赞][赞]
四川,看的通透
江西,她就是从来没吃过苦
陕西,怎么没人问一下，这老太太到底有没有子女?
江苏,都有这种思想：老年公寓也没人了
