ip_location,content,label
天津,摆脱贫穷和跨越阶级最快的捷径不是学习，而是结婚！找一个能带飞的大哥或者富婆！,0.0
上海,有了宝贝以后才知道，和她一起玩太幸福了[泣不成声],0.0
未知,想那么多累不累,1.0
北京,我觉得还好 老就老吧 至少你获得一个可爱的娃 如果不生娃 万一心态不好 没准焦虑的更老[笑哭R],0.0
未知,挂不得我能坚持到43 心态都不变 这四个我都是,1.0
未知,[吃瓜R]不会,1.0
上海,为什么不能说？触碰了谁的利益不能说？还有人能逼我结不结婚？,1.0
河北,我就是这样的观点[赞],1.0
云南,多了两个牵挂的人,0.0
山西,没用就是玩,1.0
四川,不可否认的是相比十几年前物质生活的确更丰富了，但贫富差距被极端拉大，公平不在，权势者垄断官场，资本家垄断市场，想成功机会更加困难，年轻人结婚买房生子难于上青天，经济的崩溃才开始，所以总体来看除了物质生活的确提升了，人民的幸福感，尊严感，信任感，公平性，财富机会正在大幅全面下降。,1.0
福建,我也同意，我女儿刚刚高考完，我跟她说你可以不嫁人，但是一定要有能力养活自己，,1.0
天津,算哪门子丁克。。。,1.0
广东,生，生他两三个,0.0
河北,发际线哪里去了,1.0
未知,[点赞R][点赞R][点赞R],1.0
未知,生孩子这件事本质上就是自私的，所以无所不用其极也就显得稀松平常了,1.0
甘肃,我最喜欢叫我女儿兄弟，我就喜欢跟她一起嘻嘻哈哈，这是别的角色给不了的，,0.0
浙江,生小孩一起干饭,0.0
湖南,你不生他也不生以后还有人类文明吗？,0.0
重庆,我和博主刚好相反。我是个非常没有责任感的人，我害怕生了孩子烦了又想丢了会违法，到时候还要接受法律的制裁。风险太大,2.0
湖南,我也无孩,2.0
黑龙江,现在不想要孩子是因为有足够的安全感，而这份安全感来自父母。可以不结婚不生子，年轻的时候确实爽，老了，等父母走了，等安全感没了你试试，等着挨护工的嘴巴子吧,0.0
山东,奶奶说的不是心里话.她肯定一生都在乐颠颠的为孩子吃苦耐劳.她只是说说而已[捂脸],1.0
河南,[灵机一动]很幸福啊,0.0
未知,正合我心意，但是还是要签婚前协议，结扎啥的还是要做一下，我怕他反悔[doge],2.0
广西,没有小孩撑腰，在老年公寓有在多的钱也挨工作人员看不起的,0.0
中国香港,虽然我有娃也很享受养娃过程中的酸甜苦辣，但并不妨碍我羡慕你现在的生活状态，可惜人生只有一次，不然都尝试一下也挺好,0.0
浙江,卧槽，我想法跟你一模一样,1.0
浙江,[抱抱你]自从有了宝宝，焦虑少了好多。我好爱她，也好爱我妈,0.0
未知,带孩子太累,2.0
江苏,"在三四十岁的某一天，你会突然发现，生命中最好的事，都已经发生过了，剩下的只是重复和老去，一年年，一天天。
而孩子会冲走重复，让生活重新变得末知。Ta让你烦恼，让你牵挂，让你欢喜，让你惊讶，让你再
经历一次童年，让你明白当年父母的心境，让你有理由买曾经求而不得的玩具，让你在痛苦时坚强，在危机中冷静，让你看到童年时的自己，看到他的勇敢，他的好奇，他的局促，他的不安，从而更好的理解自己，接受自己。
父母养育了孩子，孩子也陪伴了父母，父母和孩子滋养了彼此，也成就了彼此。在飞逝的时光中，他让未来有所期待。",0.0
江苏,不求回报的爱,0.0
上海,[萌萌哒R]没孩子有一堆好处，但是老了这我不确定，但是你要先考虑你能不能熬到你老了。生了老公万一和死了一样，你等于丢了西瓜，多了芝麻。老人帮你还好，不帮你也正常[偷笑R]，然后人力财力精力全方位把你搞抑郁。我个人认为你要足够财力足够成熟，要了你就要做好最坏的打算，你搞清楚自己挺不挺的过来，挺过现在再议吧。,1.0
广东,的确不容易,1.0
未知,天赐良缘！！！！[萌萌哒R],0.0
山东,晚上去操场和六岁的儿子一起踢足球，看着他那么开心的笑，我感觉也回到了童年。,0.0
未知,在大学  被说思想幼稚  之前跟个男生聊过他说“你以后就不这么想了” 标准男性回答,2.0
湖南,有了他，他就是我的最重要的人我爱我的宝贝,0.0
未知,我觉得你找的不是老公[微笑R],1.0
广东,生小孩的重任就靠第一位大哥了[比心],1.0
未知,我想有个宝宝，因为我根深蒂固的传统思想，结婚生子，后来27.8岁如愿和初恋在一起了，发现自己很嫌弃他33岁时，天时地利人和怀孕了，胎停，今年34岁.天时地利人和➕保胎，胎停，我没有勇气再去怀孕生小孩，只因为我自己身心俱伤，我想要小孩，是因为我觉得这是一种生命的传承，我只是个不能再普通的人，没有大的智慧或者想法想要去完成，但天不遂人愿，它只是旁观者,0.0
安徽,多进老年公院，有谁来管你,0.0
